Comment,Designator,Footprint,LCSC Part #
TYPE-C-31-M-12,J1,,C165948
5.1k,"R1,R2",0402,C25905
USBLC6-2SC6,U1,,C2687116
10µ,"C1,C2,C3,C17",0805,C15850
AMS1117-3.3,U2,SOT-223,C6186
RP2040,U3,,C2040
W25Q128JVSIQ,U4,,C97521
12MHz,Y1,,C20625731
1k,"R11,R13,R20",0402,C11702
15p,"C15,C16",,C1548
100n,"C4,C5,C6,C7,C8,C9,C10,C11,C13,C14,C18,C19",0402,C1525
push button,"SW2,SW3","SMD-4P,5.1x5.1mm",C318884
10k,R12,0402,C25744
1µ,C12,0402,C52923
BME280,U5,,C92489
4.7k,"R8,R9",0402,C25900
led,LED1,0805,C2297
